Status,Start Time,Stop Time,Duration in ms,Parent Suite,Suite,Sub Suite,Test Class,Test Method,Name,Description
passed,Thu Jan 16 07:29:47 UTC 2025,Thu Jan 16 07:31:11 UTC 2025,83802,Invest Main Testing,Real Android device,tests.invest.automated.A00005.WithdrawAccountTenge,tests.invest.automated.A00005.WithdrawAccountTenge,withdrawAccountTenge,withdrawAccountTenge,
passed,Thu Jan 16 07:46:46 UTC 2025,Thu Jan 16 07:48:10 UTC 2025,83408,Invest Main Testing,IOS Emulator,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,withdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,
passed,Thu Jan 16 07:25:56 UTC 2025,Thu Jan 16 07:26:56 UTC 2025,60176,Invest Main Testing,IOS Emulator,tests.invest.automated.A00016.OpenBrokerageAccountCitizenshipReject,tests.invest.automated.A00016.OpenBrokerageAccountCitizenshipReject,openBrokerageAccountCitizenshipReject,openBrokerageAccountCitizenshipReject,
passed,Thu Jan 16 07:01:39 UTC 2025,Thu Jan 16 07:02:29 UTC 2025,50656,FX Disabled Testing,Real Android device,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,checkDisabledErrorOnlineConvertTest,checkDisabledErrorOnlineConvertTest,
passed,Thu Jan 16 07:31:33 UTC 2025,Thu Jan 16 07:32:45 UTC 2025,72160,Invest Main Testing,Real Android device,tests.invest.automated.A00004.RefillInvestAccountNotEnoughMoney,tests.invest.automated.A00004.RefillInvestAccountNotEnoughMoney,refillInvestAccountNotEnoughMoney,refillInvestAccountNotEnoughMoney,
passed,Thu Jan 16 07:28:32 UTC 2025,Thu Jan 16 07:29:56 UTC 2025,83594,Invest Main Testing,IOS Emulator,tests.invest.automated.A00005.WithdrawAccountTenge,tests.invest.automated.A00005.WithdrawAccountTenge,withdrawAccountTenge,withdrawAccountTenge,
passed,Thu Jan 16 07:15:57 UTC 2025,Thu Jan 16 07:17:24 UTC 2025,87320,Invest Main Testing,IOS Emulator,tests.invest.automated.A00021.BuySharesPriceLowerThanMarket,tests.invest.automated.A00021.BuySharesPriceLowerThanMarket,buySharesPriceLowerThanMarket,buySharesPriceLowerThanMarket,
passed,Thu Jan 16 08:01:08 UTC 2025,Thu Jan 16 08:02:25 UTC 2025,77588,Invest Non Working Hours Testing,IOS Emulator,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,
passed,Thu Jan 16 07:42:14 UTC 2025,Thu Jan 16 07:43:37 UTC 2025,82578,Invest Main Testing,IOS Emulator,tests.invest.automated.A00015.OpenBrokerageAccount,tests.invest.automated.A00015.OpenBrokerageAccount,openBrokerageAccount,openBrokerageAccount,
passed,Thu Jan 16 07:48:22 UTC 2025,Thu Jan 16 07:50:41 UTC 2025,139233,Invest Main Testing,IOS Emulator,tests.invest.automated.A00001.ShareHistoryApplication,tests.invest.automated.A00001.ShareHistoryApplication,shareHistoryApplication,shareHistoryApplication,
passed,Thu Jan 16 07:49:45 UTC 2025,Thu Jan 16 07:51:01 UTC 2025,75414,Invest Main Testing,Real Android device,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,tests.invest.automated.A00008.SellSharesFromPortfolioDuringWorkingHours,withdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,
passed,Thu Jan 16 06:34:39 UTC 2025,Thu Jan 16 06:36:02 UTC 2025,83054,FX Main Testing,Real Android device,tests.fx.automated.D00006.OnlineConvertFilterTest,tests.fx.automated.D00006.OnlineConvertFilterTest,onlineConvertFilterTest,onlineConvertFilterTest,
passed,Thu Jan 16 06:42:39 UTC 2025,Thu Jan 16 06:44:33 UTC 2025,114464,FX Main Testing,IOS Emulator,tests.fx.automated.D00021.DeclineGetPersonalExchangeRateTest,tests.fx.automated.D00021.DeclineGetPersonalExchangeRateTest,declineGetPersonalExchangeRateTest,declineGetPersonalExchangeRateTest,
passed,Thu Jan 16 07:51:29 UTC 2025,Thu Jan 16 07:52:49 UTC 2025,80115,Invest Main Testing,Real Android device,tests.invest.automated.A00001.ShareHistoryApplication,tests.invest.automated.A00001.ShareHistoryApplication,shareHistoryApplication,shareHistoryApplication,
passed,Thu Jan 16 07:43:48 UTC 2025,Thu Jan 16 07:45:01 UTC 2025,72916,Invest Main Testing,IOS Emulator,tests.invest.automated.A00012.SellZeroShares,tests.invest.automated.A00012.SellZeroShares,sellZeroShares,sellZeroShares,
passed,Thu Jan 16 06:35:10 UTC 2025,Thu Jan 16 06:36:45 UTC 2025,94544,FX Main Testing,IOS Emulator,tests.fx.automated.D00006.OnlineConvertFilterTest,tests.fx.automated.D00006.OnlineConvertFilterTest,onlineConvertFilterTest,onlineConvertFilterTest,
passed,Thu Jan 16 07:09:09 UTC 2025,Thu Jan 16 07:10:28 UTC 2025,79158,Invest Main Testing,Real Android device,tests.invest.automated.A00017.BuySharesFromPortfolioDuringWorkingHours,tests.invest.automated.A00017.BuySharesFromPortfolioDuringWorkingHours,buySharesFromPortfolioDuringWorkingHours,buySharesFromPortfolioDuringWorkingHours,
passed,Thu Jan 16 06:31:11 UTC 2025,Thu Jan 16 06:33:13 UTC 2025,122032,FX Main Testing,IOS Emulator,tests.fx.automated.D00008.CreateApplicationOnlineConvertEmptyInputsTest,tests.fx.automated.D00008.CreateApplicationOnlineConvertEmptyInputsTest,createApplicationOnlineConvertEmptyInputsTest,createApplicationOnlineConvertEmptyInputsTest,
passed,Thu Jan 16 08:24:52 UTC 2025,Thu Jan 16 08:26:19 UTC 2025,86948,FX Main Testing,IOS Emulator,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,createBuyApplicationOnlineConvertTest,createBuyApplicationOnlineConvertTest,
passed,Thu Jan 16 07:55:28 UTC 2025,Thu Jan 16 07:56:31 UTC 2025,63090,Invest Main Testing,IOS Emulator,tests.invest.automated.A00031.EnterToInvestFromMainScreen,tests.invest.automated.A00031.EnterToInvestFromMainScreen,enterToInvestFromMainScreen,enterToInvestFromMainScreen,
passed,Thu Jan 16 07:24:03 UTC 2025,Thu Jan 16 07:25:10 UTC 2025,66808,Invest Main Testing,Real Android device,tests.invest.automated.A00011.SellNotEnoughShares,tests.invest.automated.A00011.SellNotEnoughShares,sellNotEnoughShares,sellNotEnoughShares,
passed,Thu Jan 16 07:21:26 UTC 2025,Thu Jan 16 07:23:10 UTC 2025,103403,Invest Main Testing,IOS Emulator,tests.invest.automated.A00027.RefillInvestForeignAccountFromTengeAccount,tests.invest.automated.A00027.RefillInvestForeignAccountFromTengeAccount,refillInvestForeignAccountFromTengeAccount,refillInvestForeignAccountFromTengeAccount,
passed,Thu Jan 16 08:36:25 UTC 2025,Thu Jan 16 08:38:16 UTC 2025,111110,FX Main Testing,Real Android device,tests.fx.automated.D00016.CreateApplicationPersonalExchangeRateEmptyInputsTest,tests.fx.automated.D00016.CreateApplicationPersonalExchangeRateEmptyInputsTest,createApplicationPersonalExchangeRateEmptyInputsTest,createApplicationPersonalExchangeRateEmptyInputsTest,
passed,Thu Jan 16 07:55:19 UTC 2025,Thu Jan 16 07:56:19 UTC 2025,59249,Invest Main Testing,Real Android device,tests.invest.automated.A00007.WithdrawAccountNotEnoughMoney,tests.invest.automated.A00007.WithdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,
passed,Thu Jan 16 07:28:12 UTC 2025,Thu Jan 16 07:29:20 UTC 2025,67779,Invest Main Testing,Real Android device,tests.invest.automated.A00034.StatementTest,tests.invest.automated.A00034.StatementTest,statements,Проверка работы страницы выписок и документов,Страница выписок и документов
passed,Thu Jan 16 08:00:59 UTC 2025,Thu Jan 16 08:02:11 UTC 2025,72205,Invest Non Working Hours Testing,Real Android device,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,tests.invest.automated.A00013.SellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,
passed,Thu Jan 16 07:05:45 UTC 2025,Thu Jan 16 07:07:24 UTC 2025,98863,Invest Main Testing,IOS Emulator,tests.invest.automated.A00002.RefillInvestAccountTenge,tests.invest.automated.A00002.RefillInvestAccountTenge,refillInvestAccountTenge,refillInvestAccountTenge,
passed,Thu Jan 16 07:36:56 UTC 2025,Thu Jan 16 07:38:35 UTC 2025,99386,Invest Main Testing,Real Android device,tests.invest.automated.A00022.BuySharesInvalidOTP,tests.invest.automated.A00022.BuySharesInvalidOTP,buySharesInvalidOTP,buySharesInvalidOTP,
passed,Thu Jan 16 07:25:40 UTC 2025,Thu Jan 16 07:26:29 UTC 2025,48609,Invest Main Testing,Real Android device,tests.invest.automated.A00029.CheckExitFromInvest,tests.invest.automated.A00029.CheckExitFromInvest,checkExitFromInvest,checkExitFromInvest,
broken,Thu Jan 16 08:28:09 UTC 2025,Thu Jan 16 08:28:09 UTC 2025,1,FX Main Testing,IOS Emulator,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,tests.fx.automated.D00001.CreateBuyApplicationOnlineConvertTest,tearDownSuite,tearDownSuite,
passed,Thu Jan 16 07:33:40 UTC 2025,Thu Jan 16 07:35:27 UTC 2025,106657,Invest Main Testing,IOS Emulator,tests.invest.automated.A00014.SellSharesInvalidOTP,tests.invest.automated.A00014.SellSharesInvalidOTP,sellSharesInvalidOTP,sellSharesInvalidOTP,
passed,Thu Jan 16 06:25:13 UTC 2025,Thu Jan 16 06:27:00 UTC 2025,106782,FX Main Testing,Real Android device,tests.fx.automated.D00014.CreateBuyApplicationPersonalExchangeRateTest,tests.fx.automated.D00014.CreateBuyApplicationPersonalExchangeRateTest,createBuyApplicationPersonalExchangeRateTest,createBuyApplicationPersonalExchangeRateTest,
passed,Thu Jan 16 06:36:26 UTC 2025,Thu Jan 16 06:37:39 UTC 2025,72630,FX Main Testing,Real Android device,tests.fx.automated.D00007.CheckRefreshRateOnlineConvertTest,tests.fx.automated.D00007.CheckRefreshRateOnlineConvertTest,checkRefreshRateOnlineConvertTest,checkRefreshRateOnlineConvertTest,
passed,Thu Jan 16 07:58:10 UTC 2025,Thu Jan 16 07:58:59 UTC 2025,49531,Invest Main Testing,Real Android device,tests.invest.automated.A00031.EnterToInvestFromMainScreen,tests.invest.automated.A00031.EnterToInvestFromMainScreen,enterToInvestFromMainScreen,enterToInvestFromMainScreen,
passed,Thu Jan 16 06:30:49 UTC 2025,Thu Jan 16 06:32:24 UTC 2025,94943,FX Main Testing,Real Android device,tests.fx.automated.D00008.CreateApplicationOnlineConvertEmptyInputsTest,tests.fx.automated.D00008.CreateApplicationOnlineConvertEmptyInputsTest,createApplicationOnlineConvertEmptyInputsTest,createApplicationOnlineConvertEmptyInputsTest,
passed,Thu Jan 16 07:05:40 UTC 2025,Thu Jan 16 07:07:12 UTC 2025,91987,Invest Main Testing,Real Android device,tests.invest.automated.A00002.RefillInvestAccountTenge,tests.invest.automated.A00002.RefillInvestAccountTenge,refillInvestAccountTenge,refillInvestAccountTenge,
broken,Thu Jan 16 07:15:53 UTC 2025,Thu Jan 16 07:17:40 UTC 2025,106595,Invest Main Testing,Real Android device,tests.invest.automated.A00021.BuySharesPriceLowerThanMarket,tests.invest.automated.A00021.BuySharesPriceLowerThanMarket,buySharesPriceLowerThanMarket,buySharesPriceLowerThanMarket,
passed,Thu Jan 16 06:25:24 UTC 2025,Thu Jan 16 06:27:36 UTC 2025,131328,FX Main Testing,IOS Emulator,tests.fx.automated.D00014.CreateBuyApplicationPersonalExchangeRateTest,tests.fx.automated.D00014.CreateBuyApplicationPersonalExchangeRateTest,createBuyApplicationPersonalExchangeRateTest,createBuyApplicationPersonalExchangeRateTest,
passed,Thu Jan 16 07:13:01 UTC 2025,Thu Jan 16 07:14:19 UTC 2025,77818,Invest Main Testing,IOS Emulator,tests.invest.automated.A00019.BuySharesNotEnoughMoney,tests.invest.automated.A00019.BuySharesNotEnoughMoney,buySharesNotEnoughMoney,buySharesNotEnoughMoney,
passed,Thu Jan 16 07:45:13 UTC 2025,Thu Jan 16 07:46:34 UTC 2025,81452,Invest Main Testing,IOS Emulator,tests.invest.automated.A00030.AddToFavoriteShare,tests.invest.automated.A00030.AddToFavoriteShare,addToFavoriteShare,addToFavoriteShare,
passed,Thu Jan 16 07:02:59 UTC 2025,Thu Jan 16 07:03:47 UTC 2025,48356,FX Disabled Testing,Real Android device,tests.fx.automated.D00019.CheckDisabledErrorPersonalExchangeRateTest,tests.fx.automated.D00019.CheckDisabledErrorPersonalExchangeRateTest,checkDisabledErrorPersonalExchangeRateTest,checkDisabledErrorPersonalExchangeRateTest,
broken,Thu Jan 16 07:59:09 UTC 2025,Thu Jan 16 07:59:09 UTC 2025,1,Invest Main Testing,IOS Emulator,tests.invest.automated.A00028.RefillInvestForeignAccountNotEnoughMoney,tests.invest.automated.A00028.RefillInvestForeignAccountNotEnoughMoney,tearDownSuite,tearDownSuite,
passed,Thu Jan 16 07:09:40 UTC 2025,Thu Jan 16 07:11:04 UTC 2025,84134,Invest Main Testing,IOS Emulator,tests.invest.automated.A00017.BuySharesFromPortfolioDuringWorkingHours,tests.invest.automated.A00017.BuySharesFromPortfolioDuringWorkingHours,buySharesFromPortfolioDuringWorkingHours,buySharesFromPortfolioDuringWorkingHours,
passed,Thu Jan 16 07:37:35 UTC 2025,Thu Jan 16 07:38:47 UTC 2025,72816,Invest Main Testing,IOS Emulator,tests.invest.automated.A00025.RefillInvestAccountIncorrectSymbols,tests.invest.automated.A00025.RefillInvestAccountIncorrectSymbols,refillInvestAccountIncorrectSymbols,refillInvestAccountIncorrectSymbols,
passed,Thu Jan 16 07:21:53 UTC 2025,Thu Jan 16 07:23:34 UTC 2025,100739,Invest Main Testing,Real Android device,tests.invest.automated.A00027.RefillInvestForeignAccountFromTengeAccount,tests.invest.automated.A00027.RefillInvestForeignAccountFromTengeAccount,refillInvestForeignAccountFromTengeAccount,refillInvestForeignAccountFromTengeAccount,
passed,Thu Jan 16 06:42:14 UTC 2025,Thu Jan 16 06:44:00 UTC 2025,105771,FX Main Testing,Real Android device,tests.fx.automated.D00021.DeclineGetPersonalExchangeRateTest,tests.fx.automated.D00021.DeclineGetPersonalExchangeRateTest,declineGetPersonalExchangeRateTest,declineGetPersonalExchangeRateTest,
passed,Thu Jan 16 06:52:21 UTC 2025,Thu Jan 16 06:53:18 UTC 2025,56691,FX Main Testing,Real Android device,tests.fx.automated.D00003.CheckAllCurrencyFiltersOnlineConvertTest,tests.fx.automated.D00003.CheckAllCurrencyFiltersOnlineConvertTest,checkAllCurrencyFiltersOnlineConvertTest,checkAllCurrencyFiltersOnlineConvertTest,
broken,Thu Jan 16 07:03:57 UTC 2025,Thu Jan 16 07:03:57 UTC 2025,1,FX Disabled Testing,IOS Emulator,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,tearDownSuite,tearDownSuite,
passed,Thu Jan 16 07:14:31 UTC 2025,Thu Jan 16 07:15:45 UTC 2025,74041,Invest Main Testing,IOS Emulator,tests.invest.automated.A00026.RefillInvestForeignAccountFromForeignAccount,tests.invest.automated.A00026.RefillInvestForeignAccountFromForeignAccount,refillInvestForeignAccountFromForeignAccount,refillInvestForeignAccountFromForeignAccount,
passed,Thu Jan 16 06:44:24 UTC 2025,Thu Jan 16 06:46:06 UTC 2025,101414,FX Main Testing,Real Android device,tests.fx.automated.D00020.CheckRefreshRatePersonalExchangeRateTest,tests.fx.automated.D00020.CheckRefreshRatePersonalExchangeRateTest,checkRefreshRatePersonalExchangeRateTest,checkRefreshRatePersonalExchangeRateTest,
