Status,Start Time,Stop Time,Duration in ms,Parent Suite,Suite,Sub Suite,Test Class,Test Method,Name,Description
passed,Thu Jan 16 07:10:54 UTC 2025,Thu Jan 16 07:12:18 UTC 2025,83504,Invest Main Testing,Real Android device,tests.invest.automated.A00010.ChangeSharePrice,tests.invest.automated.A00010.ChangeSharePrice,changeSharePrice,changeSharePrice,
passed,Thu Jan 16 07:46:19 UTC 2025,Thu Jan 16 07:47:21 UTC 2025,62410,Invest Main Testing,Real Android device,tests.invest.automated.A00012.SellZeroShares,tests.invest.automated.A00012.SellZeroShares,sellZeroShares,sellZeroShares,
passed,Thu Jan 16 08:22:50 UTC 2025,Thu Jan 16 08:23:57 UTC 2025,66243,Invest Main Testing,IOS Emulator,tests.invest.automated.A00032.BuyShareKaseGlobal,tests.invest.automated.A00032.BuyShareKaseGlobal,buyShareKaseGlobal,buyShareKaseGlobal,
passed,Thu Jan 16 08:40:07 UTC 2025,Thu Jan 16 08:41:06 UTC 2025,59353,FX Main Testing,Real Android device,tests.fx.automated.D00005.OnboardingOnlineConvertTransitionTest,tests.fx.automated.D00005.OnboardingOnlineConvertTransitionTest,onboardingOnlineConvertTransitionTest,onboardingOnlineConvertTransitionTest,
passed,Thu Jan 16 07:40:17 UTC 2025,Thu Jan 16 07:42:02 UTC 2025,104965,Invest Main Testing,IOS Emulator,tests.invest.automated.A00023.DownloadTaxReport,tests.invest.automated.A00023.DownloadTaxReport,downloadTaxReport,downloadTaxReport,
passed,Thu Jan 16 06:30:01 UTC 2025,Thu Jan 16 06:31:00 UTC 2025,58895,FX Main Testing,IOS Emulator,tests.fx.automated.D00012.CheckAllCurrencyPairsPersonalExchangeRateTest,tests.fx.automated.D00012.CheckAllCurrencyPairsPersonalExchangeRateTest,checkAllCurrencyPairsOnlineConvertTest,checkAllCurrencyPairsOnlineConvertTest,
passed,Thu Jan 16 07:24:49 UTC 2025,Thu Jan 16 07:25:44 UTC 2025,55699,Invest Main Testing,IOS Emulator,tests.invest.automated.A00029.CheckExitFromInvest,tests.invest.automated.A00029.CheckExitFromInvest,checkExitFromInvest,checkExitFromInvest,
passed,Thu Jan 16 08:02:36 UTC 2025,Thu Jan 16 08:03:38 UTC 2025,61902,Invest Non Working Hours Testing,Real Android device,tests.invest.automated.A00033.GlobalSellBuySharesFromPortfolioDuringNonWorkingHours,tests.invest.automated.A00033.GlobalSellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,
passed,Thu Jan 16 06:29:30 UTC 2025,Thu Jan 16 06:30:23 UTC 2025,52769,FX Main Testing,Real Android device,tests.fx.automated.D00012.CheckAllCurrencyPairsPersonalExchangeRateTest,tests.fx.automated.D00012.CheckAllCurrencyPairsPersonalExchangeRateTest,checkAllCurrencyPairsOnlineConvertTest,checkAllCurrencyPairsOnlineConvertTest,
passed,Thu Jan 16 07:23:22 UTC 2025,Thu Jan 16 07:24:37 UTC 2025,75657,Invest Main Testing,IOS Emulator,tests.invest.automated.A00011.SellNotEnoughShares,tests.invest.automated.A00011.SellNotEnoughShares,sellNotEnoughShares,sellNotEnoughShares,
passed,Thu Jan 16 06:40:08 UTC 2025,Thu Jan 16 06:41:48 UTC 2025,100052,FX Main Testing,Real Android device,tests.fx.automated.D00017.CreateMinMaxSumApplicationPersonalExchangeRateTest,tests.fx.automated.D00017.CreateMinMaxSumApplicationPersonalExchangeRateTest,createMinMaxSumApplicationPersonalExchangeRateTest,createMinMaxSumApplicationPersonalExchangeRateTest,
passed,Thu Jan 16 06:57:22 UTC 2025,Thu Jan 16 06:58:15 UTC 2025,52796,FX Non Working Hours Testing,Real Android device,tests.fx.automated.D00010.CheckNonWorkingHoursErrorOnlineConvertTest,tests.fx.automated.D00010.CheckNonWorkingHoursErrorOnlineConvertTest,checkNonWorkingHoursErrorOnlineConvertTest,checkNonWorkingHoursErrorOnlineConvertTest,
passed,Thu Jan 16 06:40:35 UTC 2025,Thu Jan 16 06:42:28 UTC 2025,113031,FX Main Testing,IOS Emulator,tests.fx.automated.D00017.CreateMinMaxSumApplicationPersonalExchangeRateTest,tests.fx.automated.D00017.CreateMinMaxSumApplicationPersonalExchangeRateTest,createMinMaxSumApplicationPersonalExchangeRateTest,createMinMaxSumApplicationPersonalExchangeRateTest,
passed,Thu Jan 16 08:02:38 UTC 2025,Thu Jan 16 08:03:51 UTC 2025,73304,Invest Non Working Hours Testing,IOS Emulator,tests.invest.automated.A00033.GlobalSellBuySharesFromPortfolioDuringNonWorkingHours,tests.invest.automated.A00033.GlobalSellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,sellBuySharesFromPortfolioDuringNonWorkingHours,
passed,Thu Jan 16 07:27:08 UTC 2025,Thu Jan 16 07:28:20 UTC 2025,72222,Invest Main Testing,IOS Emulator,tests.invest.automated.A00034.StatementTest,tests.invest.automated.A00034.StatementTest,statements,Проверка работы страницы выписок и документов,Страница выписок и документов
passed,Thu Jan 16 07:33:10 UTC 2025,Thu Jan 16 07:34:34 UTC 2025,83541,Invest Main Testing,Real Android device,tests.invest.automated.A00032.BuyShareKaseGlobal,tests.invest.automated.A00032.BuyShareKaseGlobal,buyShareKaseGlobal,buyShareKaseGlobal,
passed,Thu Jan 16 07:20:16 UTC 2025,Thu Jan 16 07:21:30 UTC 2025,74375,Invest Main Testing,Real Android device,tests.invest.automated.A00018.BuySharesBestPrice,tests.invest.automated.A00018.BuySharesBestPrice,buySharesBestPrice,buySharesBestPrice,
passed,Thu Jan 16 08:41:45 UTC 2025,Thu Jan 16 08:42:41 UTC 2025,55939,FX Main Testing,Real Android device,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,onboardingPersonalExchangeRateTransitionTest,onboardingPersonalExchangeRateTransitionTest,
passed,Thu Jan 16 07:44:28 UTC 2025,Thu Jan 16 07:45:52 UTC 2025,83612,Invest Main Testing,Real Android device,tests.invest.automated.A00015.OpenBrokerageAccount,tests.invest.automated.A00015.OpenBrokerageAccount,openBrokerageAccount,openBrokerageAccount,
passed,Thu Jan 16 06:53:43 UTC 2025,Thu Jan 16 06:55:28 UTC 2025,104524,FX Main Testing,IOS Emulator,tests.fx.automated.D00004.CheckAllCurrencyPairsOnlineConvertTest,tests.fx.automated.D00004.CheckAllCurrencyPairsOnlineConvertTest,checkAllCurrencyPairsOnlineConvertTest,checkAllCurrencyPairsOnlineConvertTest,
passed,Thu Jan 16 08:36:36 UTC 2025,Thu Jan 16 08:37:24 UTC 2025,48053,FX Main Testing,IOS Emulator,tests.fx.automated.D00005.OnboardingOnlineConvertTransitionTest,tests.fx.automated.D00005.OnboardingOnlineConvertTransitionTest,onboardingOnlineConvertTransitionTest,onboardingOnlineConvertTransitionTest,
passed,Thu Jan 16 08:21:33 UTC 2025,Thu Jan 16 08:22:34 UTC 2025,60729,Invest Main Testing,IOS Emulator,tests.invest.automated.A00028.RefillInvestForeignAccountNotEnoughMoney,tests.invest.automated.A00028.RefillInvestForeignAccountNotEnoughMoney,refillInvestForeignAccountNotEnoughMoney,refillInvestForeignAccountNotEnoughMoney,
passed,Thu Jan 16 06:27:47 UTC 2025,Thu Jan 16 06:29:49 UTC 2025,122040,FX Main Testing,IOS Emulator,tests.fx.automated.D00015.CreateSellApplicationPersonalExchangeRateTest,tests.fx.automated.D00015.CreateSellApplicationPersonalExchangeRateTest,createSellApplicationPersonalExchangeRateTest,createSellApplicationPersonalExchangeRateTest,
passed,Thu Jan 16 07:11:16 UTC 2025,Thu Jan 16 07:12:49 UTC 2025,92989,Invest Main Testing,IOS Emulator,tests.invest.automated.A00010.ChangeSharePrice,tests.invest.automated.A00010.ChangeSharePrice,changeSharePrice,changeSharePrice,
passed,Thu Jan 16 07:01:40 UTC 2025,Thu Jan 16 07:02:41 UTC 2025,60589,FX Disabled Testing,IOS Emulator,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,tests.fx.automated.D00011.CheckDisabledErrorOnlineConvertTest,checkDisabledErrorOnlineConvertTest,checkDisabledErrorOnlineConvertTest,
passed,Thu Jan 16 07:19:57 UTC 2025,Thu Jan 16 07:21:14 UTC 2025,77604,Invest Main Testing,IOS Emulator,tests.invest.automated.A00018.BuySharesBestPrice,tests.invest.automated.A00018.BuySharesBestPrice,buySharesBestPrice,buySharesBestPrice,
passed,Thu Jan 16 06:52:28 UTC 2025,Thu Jan 16 06:53:32 UTC 2025,64140,FX Main Testing,IOS Emulator,tests.fx.automated.D00003.CheckAllCurrencyFiltersOnlineConvertTest,tests.fx.automated.D00003.CheckAllCurrencyFiltersOnlineConvertTest,checkAllCurrencyFiltersOnlineConvertTest,checkAllCurrencyFiltersOnlineConvertTest,
broken,Thu Jan 16 06:55:35 UTC 2025,Thu Jan 16 06:55:35 UTC 2025,1,FX Main Testing,IOS Emulator,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,tearDownSuite,tearDownSuite,
passed,Thu Jan 16 07:52:43 UTC 2025,Thu Jan 16 07:53:49 UTC 2025,66433,Invest Main Testing,IOS Emulator,tests.invest.automated.A00007.WithdrawAccountNotEnoughMoney,tests.invest.automated.A00007.WithdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,withdrawAccountNotEnoughMoney,
passed,Thu Jan 16 06:57:36 UTC 2025,Thu Jan 16 06:58:36 UTC 2025,59720,FX Non Working Hours Testing,IOS Emulator,tests.fx.automated.D00010.CheckNonWorkingHoursErrorOnlineConvertTest,tests.fx.automated.D00010.CheckNonWorkingHoursErrorOnlineConvertTest,checkNonWorkingHoursErrorOnlineConvertTest,checkNonWorkingHoursErrorOnlineConvertTest,
passed,Thu Jan 16 07:14:27 UTC 2025,Thu Jan 16 07:15:29 UTC 2025,62456,Invest Main Testing,Real Android device,tests.invest.automated.A00026.RefillInvestForeignAccountFromForeignAccount,tests.invest.automated.A00026.RefillInvestForeignAccountFromForeignAccount,refillInvestForeignAccountFromForeignAccount,refillInvestForeignAccountFromForeignAccount,
passed,Thu Jan 16 06:58:48 UTC 2025,Thu Jan 16 06:59:49 UTC 2025,61034,FX Non Working Hours Testing,IOS Emulator,tests.fx.automated.D00018.CheckNonWorkingHoursErrorPersonalExchangeRateTest,tests.fx.automated.D00018.CheckNonWorkingHoursErrorPersonalExchangeRateTest,checkNonWorkingHoursErrorPersonalExchangeRateTest,checkNonWorkingHoursErrorPersonalExchangeRateTest,
passed,Thu Jan 16 07:07:39 UTC 2025,Thu Jan 16 07:08:43 UTC 2025,64068,Invest Main Testing,Real Android device,tests.invest.automated.A00028.RefillInvestForeignAccountNotEnoughMoney,tests.invest.automated.A00028.RefillInvestForeignAccountNotEnoughMoney,refillInvestForeignAccountNotEnoughMoney,refillInvestForeignAccountNotEnoughMoney,
passed,Thu Jan 16 07:12:46 UTC 2025,Thu Jan 16 07:14:03 UTC 2025,77725,Invest Main Testing,Real Android device,tests.invest.automated.A00019.BuySharesNotEnoughMoney,tests.invest.automated.A00019.BuySharesNotEnoughMoney,buySharesNotEnoughMoney,buySharesNotEnoughMoney,
passed,Thu Jan 16 07:42:36 UTC 2025,Thu Jan 16 07:43:58 UTC 2025,82535,Invest Main Testing,Real Android device,tests.invest.automated.A00023.DownloadTaxReport,tests.invest.automated.A00023.DownloadTaxReport,downloadTaxReport,downloadTaxReport,
broken,Thu Jan 16 07:18:06 UTC 2025,Thu Jan 16 07:19:51 UTC 2025,104386,Invest Main Testing,Real Android device,tests.invest.automated.A00020.BuySharesPriceHigherThanMarket,tests.invest.automated.A00020.BuySharesPriceHigherThanMarket,buySharesPriceHigherThanMarket,buySharesPriceHigherThanMarket,
passed,Thu Jan 16 07:41:00 UTC 2025,Thu Jan 16 07:42:11 UTC 2025,71701,Invest Main Testing,Real Android device,tests.invest.automated.A00024.DownloadTaxReportWithoutDeals,tests.invest.automated.A00024.DownloadTaxReportWithoutDeals,downloadTaxReportWithoutDeals,downloadTaxReportWithoutDeals,
passed,Thu Jan 16 06:38:29 UTC 2025,Thu Jan 16 06:40:23 UTC 2025,114754,FX Main Testing,IOS Emulator,tests.fx.automated.D00009.CreateMinMaxSumApplicationOnlineConvertTest,tests.fx.automated.D00009.CreateMinMaxSumApplicationOnlineConvertTest,createMinMaxSumApplicationOnlineConvertTest,createMinMaxSumApplicationOnlineConvertTest,
broken,Thu Jan 16 06:59:57 UTC 2025,Thu Jan 16 06:59:57 UTC 2025,2,FX Non Working Hours Testing,IOS Emulator,tests.fx.automated.D00010.CheckNonWorkingHoursErrorOnlineConvertTest,tests.fx.automated.D00010.CheckNonWorkingHoursErrorOnlineConvertTest,tearDownSuite,tearDownSuite,
broken,Thu Jan 16 06:23:28 UTC 2025,Thu Jan 16 06:25:01 UTC 2025,93273,FX Main Testing,IOS Emulator,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,tests.fx.automated.D00013.OnboardingPersonalExchangeRateTransitionTest,onboardingOnlineConvertTransitionTest,onboardingOnlineConvertTransitionTest,
